iter	Passed	Remaining
130	83982	1198190
131	84537	1196340
132	85075	1194260
133	85601	1192035
134	86148	1190128
135	86730	1188717
136	87231	1186223
137	87800	1184667
138	88321	1182489
139	88832	1180207
140	89383	1178462
141	89937	1176793
142	90480	1174975
143	90989	1172755
144	91629	1172219
145	92202	1170843
146	92820	1170040
147	93457	1169475
148	94056	1168444
149	94644	1167281
150	95224	1166032
151	95835	1165157
152	96516	1165131
153	97110	1164065
154	97646	1162302
155	98186	1160613
156	98753	1159249
157	99301	1157677
158	99822	1155802
159	100461	1155310
160	101058	1154329
161	101606	1152792
162	102154	1151279
163	102681	1149536
164	103234	1148089
165	103793	1146727
166	104332	1145155
167	104802	1142846
168	105254	1140356
169	105779	1138685
170	106306	1137039
171	106854	1135640
172	107349	1133689
173	107856	1131871
174	108356	1129999
175	108868	1128275
176	109393	1126693
177	109915	1125092
178	110429	1123419
179	110958	1121911
180	111481	1120357
181	112017	1118945
182	112583	1117842
183	113102	1116276
184	113612	1114635
185	114051	1112312
186	114604	1111115
187	115182	1110164
188	115704	1108678
189	116216	1107110
190	116715	1105436
191	117203	1103663
192	117742	1102384
193	118296	1101258
194	118831	1099951
195	119378	1098773
196	119861	1097005
197	120407	1095826
198	120893	1094117
199	121381	1092430
200	121893	1090980
201	122425	1089711
202	122954	1088415
203	123516	1087431
204	124002	1085776
205	124454	1083845
206	124979	1082549
207	125485	1081104
208	126032	1080021
209	126611	1079209
210	127107	1077705
211	127623	1076373
212	128086	1074601
213	128589	1073180
214	129074	1071619
215	129616	1070535
216	130083	1068839
217	130540	1067075
218	131042	1065693
219	131588	1064666
220	132090	1063301
221	132621	1062168
222	133141	1060956
223	133697	1060030
224	134290	1059403
225	134794	1058076
226	135333	1057031
227	135829	1055653
228	136410	1054945
229	136958	1053988
230	137474	1052780
231	138002	1051676
232	138577	1050929
233	139081	1049650
234	139582	1048353
235	140097	1047166
236	140621	1046054
237	141105	1044653
238	141610	1043417
239	142160	1042511
240	142701	1041540
241	143246	1040612
242	143788	1039657
243	144313	1038583
244	144765	1036990
245	145299	1035996
246	145798	1034757
247	146294	1033501
248	146781	1032185
249	147316	1031217
250	147845	1030207
251	148371	1029181
252	148898	1028166
253	149433	1027209
254	149919	1025918
255	150450	1024946
256	150935	1023661
257	151439	1022510
258	151914	1021169
259	152407	1019958
260	152970	1019219
261	153494	1018218
262	153997	1017087
263	154501	1015964
264	155029	1015004
265	155536	1013909
266	156068	1012981
267	156578	1011915
268	157087	1010851
269	157577	1009664
270	158083	1008585
271	158573	1007407
272	159101	1006479
273	159582	1005255
274	160078	1004127
275	160576	1003019
276	161107	1002124
277	161641	1001247
278	161890	998617
279	162368	997406
280	162875	996378
281	163343	995118
282	163837	994025
283	164380	993228
284	164858	992040
285	165368	991052
286	165859	989954
287	166359	988916
288	166879	987994
289	167311	986563
290	167805	985495
291	168328	984607
292	168880	983889
293	169424	983123
294	169897	981951
295	170410	981010
296	170926	980092
297	171315	978453
298	171834	977561
299	172367	976750
300	172875	975800
301	173410	975003
302	173899	973952
303	174414	973050
304	174944	972232
305	175431	971177
306	175962	970371
307	176484	969521
308	176990	968580
309	177466	967478
310	177985	966613
311	178507	965771
312	179003	964791
313	179487	963745
314	179971	962705
315	180488	961845
316	180967	960785
317	181475	959881
318	182005	959092
319	182543	958354
320	183079	957600
321	183580	956668
322	184085	955764
323	184555	954674
324	185082	953885
325	185627	953189
326	186134	952304
327	186643	951426
328	187179	950688
329	187697	949861
330	188225	949087
331	188768	948389
332	189267	947476
333	189703	946244
334	190219	945420
335	190727	944555
336	191239	943713
337	191733	942783
338	192211	941780
339	192697	940815
340	193154	939717
341	193593	938532
342	194133	937839
343	194569	936647
344	195071	935779
345	195570	934893
346	196097	934145
347	196627	933414
348	197120	932511
349	197604	931563
350	198056	930469
351	198540	929532
352	199077	928838
353	199605	928108
354	200118	927308
355	200645	926576
356	201142	925707
357	201611	924709
358	202158	924074
359	202681	923325
360	203328	923144
361	204001	923078
362	204430	921909
